startingAirport,destinationAirport,departureHour,segmentsAirlineName
ATL,BOS,0,American Airlines||American Airlines
ATL,BOS,0,American Airlines||American Airlines||American Airlines
ATL,BOS,0,Delta||Delta
ATL,BOS,0,Delta||Delta||Delta
ATL,BOS,0,Delta||United||United
ATL,BOS,0,JetBlue Airways||JetBlue Airways
ATL,BOS,0,United||United
ATL,BOS,1,Delta
ATL,BOS,1,Delta||Delta
ATL,BOS,1,Delta||Delta||Delta
ATL,BOS,1,Delta||United||United
ATL,BOS,1,Frontier Airlines||Frontier Airlines
ATL,BOS,1,JetBlue Airways||JetBlue Airways
ATL,BOS,1,United||United
ATL,BOS,2,Delta
ATL,BOS,2,Delta||Delta
ATL,BOS,2,Delta||Delta||Delta
ATL,BOS,2,Delta||United
ATL,BOS,2,Delta||United||United
ATL,BOS,2,Frontier Airlines||Frontier Airlines
ATL,BOS,3,Delta||Delta
ATL,BOS,3,Delta||Delta||Delta
ATL,BOS,3,Delta||United
ATL,BOS,3,Delta||United||United
ATL,BOS,3,Frontier Airlines||Frontier Airlines
ATL,BOS,9,American Airlines||American Airlines
ATL,BOS,9,American Airlines||American Airlines||American Airlines
ATL,BOS,9,Frontier Airlines||Frontier Airlines
ATL,BOS,9,JetBlue Airways||JetBlue Airways
ATL,BOS,9,Spirit Airlines||Spirit Airlines
ATL,BOS,9,United||Delta||Delta
ATL,BOS,9,United||United
ATL,BOS,9,United||United||Delta
ATL,BOS,9,United||United||United
ATL,BOS,10,American Airlines||American Airlines
ATL,BOS,10,American Airlines||American Airlines||American Airlines
ATL,BOS,10,Delta
ATL,BOS,10,Delta||Delta
ATL,BOS,10,Frontier Airlines||Frontier Airlines
ATL,BOS,10,JetBlue Airways||JetBlue Airways
ATL,BOS,10,Spirit Airlines
ATL,BOS,10,United||Delta
ATL,BOS,10,United||United
ATL,BOS,11,American Airlines
ATL,BOS,11,American Airlines||American Airlines
ATL,BOS,11,American Airlines||American Airlines||American Airlines
ATL,BOS,11,Delta
ATL,BOS,11,Delta||Delta
ATL,BOS,11,Delta||Delta||Delta
ATL,BOS,11,Delta||United
ATL,BOS,11,Delta||United||United
ATL,BOS,11,JetBlue Airways
ATL,BOS,11,JetBlue Airways||JetBlue Airways
ATL,BOS,12,American Airlines||American Airlines
ATL,BOS,12,American Airlines||American Airlines||American Airlines
ATL,BOS,12,Delta
ATL,BOS,12,Delta||Delta
ATL,BOS,12,Delta||Delta||Delta
ATL,BOS,12,Delta||United
ATL,BOS,12,JetBlue Airways||JetBlue Airways
ATL,BOS,12,Spirit Airlines||Spirit Airlines
ATL,BOS,13,American Airlines||American Airlines
ATL,BOS,13,American Airlines||American Airlines||American Airlines
ATL,BOS,13,Delta
ATL,BOS,13,Delta||Delta
